ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
514,New Brunswick and Nova Scotia November 4 2007 Wind gusts of up to 135 kmh from posttropical storm Noel lashed the Maritimes knocking out power to an estimated 190000 homes and businesses across the region while pounding surf and heavy rain washed out roads in some coastal areas,november,wind,gusts
515,Maritime provinces December 4 2007 A powerful storm that dumped up to 40 cm of wet heavy snow on parts of Atlantic Canada knocked out power in all four provinces leaving approximately 50000 people without electricity,december,powerful,storm
516,Maritime Provinces September 28 2008 Tropical storm Kyle made landfall with Atlantic Canada between the Yarmouth and Digby counties in western Nova Scotia at 2130 ADT on September 28 Kyle covered more than 1000 kilometres as it moved northnortheast from the United States before reaching Canada as a Category 1 storm with wind gusts of 120 kmh The storm brought heavy rain to New Brunswick and Quebec with parts of New Brunswick receiving up to 72 mm of rain Power outages were reported in all three Maritime provinces Nova Scotia had over 40000 customers approximately 120000 individuals lost power The storm also produced an estimated storm surge of 80 cm,september,tropical,storm
517,Meat Cove NS August 2122 2010  A flash flood struck the small community of Meat Cove early in the morning on August 22 The five local bridges suffered major damages including two bridges that were completely washed away Local roads were flooded and sustained damages including the major road that connects the small fishing community to the rest of the province which resulted in 100 residences and 26 tourists being isolated by the flood Environment Canada reported 698 mm of rain in the area Officials from the Emergency Management Office worked with the RCMP Emergency Health Services the Canadian Red Cross and others to provide emergency services to the affected people Access to the area was restricted to boats until August 30 when a temporary bridge over Salmon River was completed,august,flash,flood
518,Edmonton AB July 18 2009  A cold front mixed with warm air produced severe thunderstorms in the Edmonton area The city of Edmonton along with Lamont and Strathcona counties were hit by a storm cell that produced intense lightning heavy rain hail and strong winds of up to 110 kmh The strong winds downed trees and power lines knocking out power to an unknown number of people In Edmonton the powerful winds ripped the awning off the Edmonton CN Tower causing damages to the tower and vehicles parked below In addition lightning caused various fires throughout the city,july,cold,mixed
519,Yarmouth County NS November 410 2010 A severe storm produced a total rainfall ranging from 140 mm to 250 mm  At least 20 roads were closed due to flooding and more than 100 people were evacuated from their homes,november,severe,storm
520,Southwest Alberta May 2125 2008 A series of rainstorms and the resulting high stream flows significantly impacted municipalities in Southwestern Alberta The Government of Alberta established a Disaster Recovery Program on July 30 2008 covering all affected municipalities and residents The program includes the municipalities of Black Diamond High River Okotoks Clagary Municipal Districts of Foothills Kananaskis Improvement District Pincher Creek Rocky View and the Stony First Nation,series,rainstorms,resulting
521,BaieVerte NB January 23 2010 While there are no gauges in the BaieVertePort Elgin area Environment Canada reported that based on the gauge at Pointe du Chene the peak water level there lasted for approximately two hours Environment Canada indicated that water levels in the BaieVertePort Elgin area would have been greater than the five feet recorded at Pointe du Chene due to the peak winds occurring there later in the storm,baieverte,january,gauges
522,Saskatchewan June 29 to July 2 2010 Saskatoon was struck by severe weather on June 29 The following day numerous municipalities from Prince Albert to Davidson were affected by heavy rain On July 1 the storm moved south while another system moved in from the north On July 2 an F3 tornado touched down at approximately 1730 CST in Kawacatoose First Nation near the town of Raymond The tornado produced wind speeds of up to 330 kmh and left a path of destruction that was 500 metres wide and 45 kilometres in length The tornado destroyed 18 homes in the small First Nations community There were no fatalities or reported injuries although 85 people were left homeless in the wake of the tornado,june,july,saskatoon
523,Lambton County ON December 1214 2010 A severe winter storm caused severe road closures including London Line and Highway 402 in Lambton County A county emergency was declared on December 13 The next day on December 14 a snow streamer accompanied by heavy winds swept through the region creating a hazard for drivers on the road In total there were approximately over 625 people stranded on area roads who had to be rescued and taken to warming centres The majority of stranded drivers were trapped in their vehicles for up to six hours meaning that many people were forced to spend the night in their vehicles The Canadian Armed Forces used two Griffin helicopters to assist the Ontario Provincial Police in rescuing 237 motorists stranded in their vehicles along Highway 402 One officer received a minor injury while trying to reach stranded motorists and one man was found dead from exposure to the elements,december,severe,winter
524,New Brunswick and Nova Scotia December 13 2010  New Brunswick and Nova Scotia experienced heavy rainfall resulting in extensive flooding A layer of ice and snow underground prevented rain from being absorbed which led to significant flooding In New Brunswick and Nova Scotia flooding caused damages to homes and roads as well as power outages that affected approximately 80000 residents 240000 individuals in Nova Scotia In New Brunswick St Stephan received up to 1664 mm of rain while Fedricton received 1017 mm of rain Over 120 roads were closed in New Brunswick and up to 60 homes were destroyed In addition approximately 44 residents 132 individuals from St George and Nashwaak Valley were displaced from their homes Both provinces provided provincial aid to victims,december,experienced,heavy
525,Midland ON June 23 2010 Two tornadoes touched down in Ontarios Cottage County An F2 tornado with wind speeds of up to 240 kmh touched down in Midland at 1830 EST Another F1 tornado with wind speeds of up to 170 kmh touched down in Washago at 1900 EST In Midland 50 trailers were destroyed and 20 others were damaged Additionally another 100 residential buildings were damaged by the F2 tornado that also uprooted trees and downed power lines It was reported that 20 people were sent to the hospital for injures Ontario provided immediate provincial assistance of up to 1 million to aid in cleanup and repairs,june,tornadoes,touched
526,Across Canada concentrated in Saskatchewan and Alberta Spring 2001 to Fall 2002  A severe drought was felt across all Canada affecting 41000 people with the most devastating impacts felt in Saskatchewan and Alberta  Record to nearrecord drought as indicated by the Palmer Drought Severity Index was recorded at several climate stations in 2001  The winter of 20012002 continued the dry trend and brought above normal temperatures  Fall 2002 brought much needed precipitation to relieve much of the drought though dry conditions did remain in places  The repercussions of the drought included agricultural production employment crop and livestock production and the Gross Domestic Product,spring,fall,severe
527,Leamington ON June 6 2010 An F1 tornado touched down in Leamington prompting city officials to declare a local state of emergency The small community located in the southern region of Essex County was hit by an F1 tornado as well as a series of strong winds called downbursts early in the morning on June 6 The F1 tornado produced winds of up to 180 kmh which destroyed approximately 12 homes downed power lines and uprooted trees Approximately 4500 hydro customers 13500 individuals were left without power The Canadian Red Cross assisted with response efforts by providing an emergency shelter There were no reported injuries or fatalities,june,tornado,touched
528,North Battleford SK July 22 2010  A sudden and severe downpour of rain caused extensive flooding in the city of North Battleford  A local state of emergency was declared and 97 homes were flooded The Red Cross provided food and accommodations to 45 people from 11 families,july,sudden,severe
529,Newfoundland and Labrador September 21 2010 Hurricane Igor hit Newfoundland and Labrador at 1230 NDT causing extensive damages At the height of the hurricane wind speeds in some areas were in excess of 170 kmh with rainfall reaching nearly 240 mm in some parts of the province Approximately 150 communities were isolated due to washouts and road closures and 30 communities had declared states of emergency Over 30000 calls were made to the Emergency Operations Centre and over 100 families 300 individuals were displaced An 80yearold man died when he was swept into the ocean during the storm  The Canadian Forces deployed 1000 troops to assist in the wake of the disaster Canada Revenue Agency also provided tax relief measures to taxpayers affected by Hurricane Igor in Newfoundland and Labrador,september,hurricane,igor
530,British Columbia July 28 to September 8 2010  Due to little precipitation and lightning strikes from July 28 to July 31 the number of fires in British Columbia went from 600 to 1100  On August 18 strong winds blew through the interior causing substantial growth of the fires Throughout the wildfire season approximately 461 homes 1383 individuals were ordered to evacuate the region and hundreds of other homes were put on evacuation alert The hardest hit areas were Chilcotin Houston Williams Lake Burns Lake and Fraser Lake All evacuation orders and alerts were removed by the first week of September  Approximately 330000 hectares burned due to 1673 fires  Over 1400 personnel from outofprovince assisted with fighting the fires  Two air tanker pilots died in a plane crash while fighting the fires  Both the city of Vancouver and the Government of Alberta issued air quality warnings due to smoke caused by the fires,july,september,precipitation
531,PortauPrince Haiti January 12 2010 At 1653 local time a 70 magnitude earthquake occurred off the coast of Haiti approximately 16 kilometres from the capital of PortauPrince  Upwards of 50 aftershocks were felt since January 12 including a 61 magnitude on January 20  In the aftermath 1911 Canadians in Haiti were located by International and Foreign Affairs and out of that number 58 died and 31 were injured  A total of 4620 Canadians and Haitians were evacuated to Canada over the course of 49 flights including 203 children who were united with their families in Canada  Expert personnel from DFAIT CIDA CIC CBSA CSC and the RCMP were dispatched to aid in the response,portauprince,january,local
532,Southern Saskatchewan 1921 A drought put many farmers out of work and caused poverty and distress,drought,put,farmers
533,Southeast YT July 1516 1974 Heavy rainfall along the Alaska Highway caused sections of highway and bridges to be washed away,july,heavy,rainfall
534,Northwestern British Columbia October 29  November 7 1978 Northwestern BC was hit by two floods The first was due to a major storm system which struck October 29 to November 1 The second flood was caused by heavy rainfall and mixture of snow and rain occurring between November 4 and 7 Flooding occurred collectively along the Skeena and Nass rivers and on the Queen Charlotte Islands The TerraceKitimat region was declared a disaster area as the local economy was severely disrupted by the flooding and loss of communication links Kitimaat Village and Thornhill were also affected while Lakelse Lake and Old Remo areas were the worst hit by flooding with dozens of homes flooded  Numerous bridges were damaged and destroyed roads and highways were washed out in many places and the railway line between Smithers and Terrace was closed because of the flooding A CN Rail track was undermined  a train engine fell into the Skeena River causing the deaths of two people,october,november,hit
535,Vancouver Fraser Valley and the Greater Vancouver Regional Districts BC January 6 to 8 2009 A severe rainstorm from January 6 to January 8 affected Vancouver Fraser Valley and the Greater Vancouver Regional Districts causing overland flooding mudslides and landslides until January 31 Preliminary eligible costs are estimated at 16500000 which would result in a federal share of approximately 6900000,january,severe,rainstorm
536,Quebec January 9 2008 A vigorous cold front brought very strong winds that caused power outages in several regions of Quebec A total of 83000 HydroQuebec customers 249000 Individuals across the province were left without electricity,january,vigorous,cold
537,Merville and Lang BC 1921 Fires broke out in the two towns Unknown number of deaths and homeless,fires,broke,towns
538,Kicking Horse Pass Alberta  British Columbia border November 1978 Debris flows triggered by a jokulhlaup sudden and rapid draining of a glacier dammed lake or of water impounded within a glacier from Cathedral Glacier destroyed three levels of Canadian Pacific Railway track derailing a freight train,november,debris,flows
539,Winisk Winisk River Northern ON May 16 1986  Precipitation was nearly three times normal in the western James Bay area of northern Ontario in March and April,precipitation,normal,march
540,St Johns NL February 8 1921 This snowstorm was one of the worst experienced in the city for years,johns,february,snowstorm
541,Northcentral Alberta July 1324 1986 Very heavy precipitation caused the McLeod Pembina the Athabasca rivers and the North Saskatchewan River and its tributaries to overflow and flood the North Saskatchewan River valley in Edmonton July 19 and hundreds of smaller communities Extensive damage occurred in lowlying residential areas agricultural lands crops farm property and buildings Municipal and provincial infrastructure was also damaged 1500 homes were damaged Refer to the Saskatchewan entry for more information on this weather system,northcentral,july,heavy
542,Southcentral QC late Marchearly April 1987 Heavy rains and melting snow caused spring flooding,late,marchearly,april
543,County of Thorhild AB May 12 2010 A wildfire in the county of Thorhild north of Edmonton affected thousands of acres of land The community of Opal experienced numerous evacuation orders which affected up to 100 homes on May 17 The Province of Alberta provided 10 million in funding under the Municipal Wildfire Assistance Program to aid in the communitys recovery,wildfire,affected,acres
544,Britannia Beach BC October 28 1921 37 dead,october,dead,
545,PerthAndover NB April 2 1987 Serious damage occurred when an ice jam formed during snowmelt and heavy rainfall caused severe flooding,perthandover,april,serious
546,Harrow and Colchester South Essex County ON July 1920 1989 Widespread flooding due to 450 mm of rain in a 30hour period,july,widespread,flooding
547,Comox BC 1922 An explosion at the Comox Colliery killed 18 people,explosion,colliery,killed
548,Grande Prairie AB AugustOctober 1989 Heavy rainfall occurred over the northwest region of Alberta in late August 1989 and caused flooding Rains continued on in September and October making it hard for farmers to harvest their crops,augustoctober,heavy,rainfall
549,Southern Alberta June 69 1995 Heavy rain and snowmelt led to flooding The most extensive damage occurred from the Oldman and South Saskatchewan Rivers from Crownest Pass to Pincher Creek Lethbridge and Medicine Hat This includes the southern areas of High River Roads property riverbanks trails agricultural land and over 20 bridges were damaged More than 215 homes had flooded basements and some experienced short power outages,june,heavy,rain
550,Glengarry Hospital Victoria BC April 6 2010 A Norovirus outbreak at the Chandler Unit was declared on April 6 and affected a total of 39 residents A respiratory outbreak was later declared on April 22 after an increase in the number of cases and several deaths which occurred in the Chandler Unit On April 29 two residents at the Fairfield Unit also became ill with respiratory symptoms No new cases of respiratory illness occurred in the Fairfield Unit after  April 29 A total of 21 residents at Glengarry Hospital 19 at the Chandler Unit and 2 at the Fairfield Unit were affected by the respiratory illness Of these 21 individuals 10 have died 9 at the Chandler Unit 1 at the Fairfield Unit Three staff members also experienced respiratory symptoms,april,norovirus,outbreak
551,Chapleau ON May 27 2010 A forest fire which started in the Chapleau area near Wawa burned through approximately 22 hydro poles and caused a power outage affecting approximately 2000 local residents,forest,fire,started
552,Saint John River basin and northeastern river basins NB June 1725 1922,june,,
553,Saguenay River Valley QC July 19 1996,july,,
554,Montreal and Mauricie Region QC November 89 1996 Severe flooding due to heavy rains occurred in the MontrAal and Mauricie regions  Approximately 150 mm of rain fell on MontrAal in 36 hours,november,severe,flooding
555,Gaspe and Bonaventure QC December 515 2010 Heavy rains moved through Quebec causing flooding from December 5 to 7 and 13 to 15  A total of 57 municipalities were declared eligible for disaster financial assistance with the provincial government Approximately 125 residents were evacuated during the flooding on December 15 with between 300 and 500 homes in the Gaspe region being flooded,gaspe,december,heavy
556,Portage la Prairie MB June 22 1922 A tornado resulted in five dead many injured,june,tornado,resulted
557,Manitoba AprilMay 1999 There were 65 fires burning in the province  The 1200 residents of Cross Lake were forced to flee their homes on April 29 when a Forest fire came within 300 metres of the town The majority of residents were evacuated to the nearby towns of Thompson and Norway House  On May 3 600 residents of three small communities clustered on the east shore of Lake Winnipeg Seymourville Hollow Water First Nation and Manigotagan were evacuated to the nearby town of Bissett to avoid the oncoming Forest fire which came within four kilometres of the communities The fire covered 52 sq km and it took about 500 firefighters 30 helicopters and five water bombers to battle the blaze,aprilmay,fires,burning
558,Southern Alberta June 68 2005 Heavy rainfall and high water levels across southern Alberta caused massive flooding in several waterways  Multiple municipalities across the region issued a state of emergency Severe flooding caused the evacuation of 2000 people in Calgary 1300 in Sundre 3200 in Drumheller 200 in High River 70 in Foothills 58 in Okotoks and 200 in Red Deer County  Officials reported that the 200year flood event resulted in significant damages to approximately 40000 homes,june,heavy,rainfall
559,Northern Saskatchewan June 23252005  An intense low pressure system caused heavy rainfall from July 2325 affecting an area of northern Saskatchewan already saturated by snowmelt between Meadow Lake to the south and Stony Rapids to the north and between the Alberta border to the west and the Manitoba border to the east  The closure of Highway 905 due to flooding in several locations resulted in the disruption of services to northern communities including Stony Rapids and Black Lake until the road was reopened on July 31  Preliminary eligible costs were estimated at 3200000 which would result in a federal share of approximately 1100000,june,intense,pressure
560,Haileybury and northern region ON September 30  October 5 1922 43 dead unofficially as high as 150 11000 homeless 5180 square kilometres burned,september,october,dead
561,Roseau River First Nation Sioux Falls Peguis First Nation St Andrews St Clements and Selkirk MB March 24 to May 21 2009 Overland flooding caused by a combination of snowmelt seasonal precipitation and the spring breakup affected southern Manitobas watershed areas of the Red Pembina Assiniboine and Souris Rivers The event caused flooding of houses and evacuations from communities including Roseau River First Nation Sioux Falls Peguis First Nation St Andrews St Clements and Selkirk The flooding also resulted in damage to public infrastructure such as bridges roads and highways Three principal factors led to the spring flooding 1 Heavy autumn rains about 43 per cent more than normal saturated the ground just before freezing in early December which left little room for absorbing snow melt in the spring,march,overland,flooding
562,Saskatchewan and Alberta March 1 to July 1 2009  The Canadian Wheat Board projected lower crop prospects by 20 per cent across the Prairies A dozen counties and municipal districts in Alberta declared a state of drought emergency or disaster For example Saskatoon had less than onequarter of the usual amount of spring precipitation making the months of March April and May the driest since recordkeeping began in 1892 It wasnt just spring that was dry The soil moisture recharge period between September 1 2008 and March 31 2009 had less than 60 per cent of normal precipitation To the west in Alberta conditions were even drier as illustrated by precipitation amounts in Edmonton where the 12 month total rain and snow from July 2008 to June 2009 was only 234 mm less than half of normal and the driest such period with records dating back to 1880 Making matters worse eight of the last ten years in Albertas capital of Edmonton had less rain and snow than the 30year average total but no year was as scanty as the most recent Not surprisingly the flow of the North Saskatchewan River was at its third lowest level in nearly a century,march,july,canadian
563,Echo Harbour BC September 30 1922 5 dead,september,dead,
564,Comox BC 1923  An explosion in the Comox Colliery killed 33 people,explosion,colliery,killed
565,Winnipeg MB 1923 Severe flooding in the Winnipeg area of the Assiniboine River,severe,flooding,
566,Saint John River basin NB April 29  May 9 1923 Snowmelt ice jams and heavy rainfall caused flooding in New Brunswick,april,snowmelt,ice
567,British Columbia 1924 Nine people were killed when a bomb went off in a railway car carrying a Doukhobor leader,people,killed,bomb
568,Prairie Provinces 1924 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
569,Dawson YT May 7 1925 Ice broke on the Klondike River on May 7 while ice broke on the Yukon River on May 9,ice,broke,klondike
570,Saskatchewan 1939,,,
571,Across Canada MarSept 1927  Typhoid The Canadian Red Cross assisted the people of Canada by donating medical supplies and money to help the victims  Unknown number of deaths,marsept,typhoid,canadian
572,Montreal QC January 9 1927 A fire started in the Laurier Palace Theatre but was quickly extinguished,january,fire,started
573,Newfoundland August 2425 1927  A hurricane swept through Atlantic Canada washing out roads filling basements ans swamping boats  In Newfoundland 56 people died at sea,august,hurricane,swept
574,Rideau Chaudiere and Quyon Rivers QC 1928 Three people were killed by the flooding when these rivers overflowed their banks,chaudiere,people,killed
575,Pike Lake SK April 1928 The Canadian Red Cross assisted in the evacuation of 138 residents,april,canadian,assisted
576,Prairie Provinces 1929 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
577,Southern Ontario January 1820 1929 Widespread flooding caused damages and flooded roads and railways,january,widespread,flooding
578,Southern Ontario April 59 1929 Widespread flooding caused damages and flooded roads and railways,april,widespread,flooding
579,Burin Peninsula NF November 18 1929 An offshore earthquake magnitude 72 on the floor of the Atlantic Ocean caused a massive submarine slump landslide which generated a large ocean wave tsunami,nf,november,offshore
580,Coalmont BC 1930 An explosion in the Coalmont Colliery killed 45 people,explosion,colliery,killed
581,Liverpool NS 1930 The Canadian Red Cross evacuated 48 families assume family of 4,canadian,evacuated,families
582,St Lawrence River June 26 1930 Lightning struck the bow of the John B King drillship in the St Lawrence River igniting a store of dynamite aboard  The explosion killed 30 people and injured 11 others,june,lightning,struck
583,Capreol ON June 26 1930  Slump of railway embankment passenger train derailed into the Vermillion River,june,slump,railway
584,Crerar ON June 27 1930  Slump of railway embankment,june,slump,railway
585,Estevan SK September 829 1931 The miners of the Souris coal field walked off the job to reinforce demands for increased wages and improved working conditions,september,miners,coal
586,Prairie Provinces 19311938 The dirty thirties,dirty,thirties,
587,New Brunswick and Eastern Quebec May 4 1933 Snowmelt heavy rains and ice jams contributed to flooding throughout New Brunswick and Eastern Quebec,snowmelt,heavy,rains
588,Southern New Brunswick October 25 1933 Heavy autumn rainfall in southern New Brunswick caused extensive damage to roads dams and bridges,october,heavy,autumn
589,Baffin Bay NU November 20 1933 The largest earthquake ever recorded inside the Arctic Circle  Magnitude 73,november,earthquake,recorded
590,Eastern Canada December 1933  February 1934 A Cold Wave engulfed North America from Manitoba to the Atlantic coast  Ice trapped fishing vessels off Nova Scotia hospitals were jammed with frostbite victims and for only the second time in recorded history Lake Ontario froze completely,december,february,cold
591,Plaster Rock NB April 1624 1934 Continuous rainfall for several days snowmelt and an ice jam 64 kilometres north of Plaster Rock New Brunswick contributed to extensive flood damage in the Saint John River Basin,april,continuous,rainfall
592,Regina SK JuneJuly 1935 One person was killed on July 1 during a clash between police and 1000 unemployed workers taking part in the On to Ottawa trek,junejuly,person,killed
593,Nova Scotia January 1015 1935  Nova Scotia was hit hard by flooding caused by unusually high temperatures torrential rains and ice jams  Some rivers reached levels 8 to 14 metres higher than normal  Dykes and highways were damaged 25 bridges were destroyed homes and businesses were inundated homes were evacuated roads were flooded and farm animals drowned,january,hit,hard
594,Manitoba 1935 Record snowfall in Manitoba reached 518 cm in March 1935,record,snowfall,reached
595,Newfoundland August 25 1935 Villages destroyed,august,villages,destroyed
596,Southern Ontario March 1012 1936 Widespread flooding caused damages and flooded roads and railways,march,widespread,flooding
597,Moose River NS April 1223 1936 Three men were trapped in a gold mine only two of the men survived,april,men,trapped
598,Northern Saskatchewan July 1936 During the week before July 20 194 sq km of Saskatchewan timberland burned,july,july,sq
599,Across Canada July 517 1936 A twoweek heat wave starting on July 5 1936,july,twoweek,heat
600,New Brunswick March 1625 1936 Snowmelt ice jams and heavy rainfall caused flooding across New Brunswick and resulted in severe damage,march,snowmelt,ice
601,Louiseville QC August 15 1936 22 dead 22 injured a 16car freight train smashed into a farm truck carrying more than 40 people from a Friday night political rally,august,dead,injured
602,Nova Scotia September 1936 A hurricanelike storm hit Nova Scotia in September 1936 and caused flooding throughout the province,september,hurricanelike,storm
603,Southern Ontario January 1314 1937 Widespread flooding caused damages and flooded roads and railways,january,widespread,flooding
604,Southern Ontario April 2628 1937 Especially on the Thames River in London,april,thames,
605,StGregoiredeMontmercy QC September 1 1938 4 dead,stgregoiredemontmercy,september,dead
606,Dance Township ON October 1015 1938,october,,
607,Sydney Mines Cape Breton NS December 6 1938 20 dead A chain of small cars known as a man rake was being lowered into the shaft when a cable snapped sending the cars laden with more than 200 men crashing to the bottom,december,dead,chain
608,Nova Scotia February 2 1939 Queen Hotel Fire,february,hotel,fire
609,Ontario 1940 Three Great Lakes ships wrecked in storm killing 69,ships,wrecked,storm
610,Prairie Provinces March 14 1941 A severe blizzard producing a storm called an Alberta Low lasted 7 hours and produced winds exceeding 100 kmh,march,severe,blizzard
611,Gogama ON May 14  June 15 1941 No dead 133827 ha destroyed,june,dead,ha
612,Burin Peninsula St Johns and Little St Lawrence NL August 2 1941 Experienced the effects of flooding caused by torrential rains,johns,august,experienced
613,Southwestern Ontario September 25 1941 An unnamed hurricane struck southwestern Ontario,september,unnamed,hurricane
614,Newfoundland 1942 203 dead,dead,,
615,Charlottetown PE September 22 1942 A storm remnants of a dissipating hurricane left 1638 mm of rain and damages in the city of Charlottetown,september,storm,remnants
616,St Johns NL December 12 1942 99 dead 100 seriously injured mostly Canadian military,johns,december,dead
617,Almonte ON December 27 1942 During a sleet storm on Sunday December 27 a troop train pulled by a massive 2800class locomotive smashed into the rear of a packed passenger train standing in darkness at the Canadian Pacific Railway station killing 36 and injuring 155,december,sleet,storm
618,Aldershot ON September 10 1943 12 killed two injured a CPR passenger train at Aldershot crossing near Hamilton collided with a Canada Coach Lines bus splitting the bus in two,september,killed,injured
619,SaintDonat QC October 19 1943 24 dead a Liberator bomber crashed many of the passengers were going on leave the wreckage was not located until June 1946,saintdonat,october,dead
620,British Columbia 1944 One person was killed during an arson attack carried out by the radical Doukhobor sect the Sons of Freedom,person,killed,arson
621,Toronto ON December 11 1944 A blizzard produced 57 cm of snow over two days,december,blizzard,produced
622,Dartmouth NS July 18 1945 Naval Magazine,july,naval,magazine
623,Windsor to Tecumseh ON June 17 1946,june,,
624,Okanagan Valley near Penticton BC July 29 1946  The 15 minute hailstorm with hailstones 5 cm in diameter causes extensive apple and pear crop damage,penticton,july,minute
625,Estevan SK September 15 1946 A Royal Canadian Air Force RCAF transport plane crashed near Estevan killing 20 RCAF personnel,september,royal,canadian
626,Prairie Provinces January 30  February 8 1947 A blizzard raged for 10 days from Winnipeg to Calgary,january,february,blizzard
627,Elgin NB February 5 1947 Rain mild temperatures and ice jams caused flooding of large sections of Kings County and surrounding area New Brunswick,february,rain,mild
628,Southern ON April 512 1947 Widespread flooding occurred on several river systems including the Thames Grand Rideau Credit and Saugeen Rivers as well as in the Lake St Clair and Lake Nipissing regions Several roads and railways were forced to close due to flooding,april,widespread,flooding
629,Bristol NB April 30 1947 Heavy rains mild temperatures and snowmelt contributed to a heavy runoff and overflow of the Saint John River New Brunswick,april,heavy,rains
630,Dugald MB September 1 1947 About 30 km east of Winnipeg 31 dead many injured a CNR passenger train collided with a special CNR campers train filled with people returning from vacation,september,dead,injured
631,Southern Ontario March 1622 1948 Communities in the Lake St Clair region southwestern Ontario on Maitland Grand and Thames Rivers southcentral Ontario Toronto area and in southwestern Ontario the Rideau River suffered from flood damages,march,communities,maitland
632,Red Deer River AB April 21 1948 Hundreds of families from Newcastle Wayne Rosedale and Drumheller were evacuated by the Canadian Red Cross when the Red Deer River flooded,april,families,newcastle
633,Regina SK November 1950,november,,
634,MississagiChapleau a First Nation reserve ON May to late October 1948 261017 ha destroyed,mississagichapleau,late,october
635,Fraser River BC May 31 1948 The flood ripped apart dikes,flood,ripped,dikes
636,St Johns NL September 14 1948 Torrential rains caused at least three houses to collapse when hit by mudslides,johns,september,torrential
637,Offshore Queen Charlotte Islands BC August 22 1949 Widely felt over a large area of western North America,offshore,august,felt
638,SaintJoachim QC September 9 1949 A Quebec Airways DC3 was sabotaged with a  the plane exploded and crashed killing 32 the saboteur JA Guay and his two accomplices were later convicted and hanged,saintjoachim,september,airways
639,Toronto ON September 17 1949 118 dead,september,dead,
640,Rimouski and Cabano QC 1950,,,
641,Southern Ontario March 2429 1950 Widespread flooding affected southern Ontario including Toronto,march,widespread,flooding
642,Southern Ontario April 48 1950 Widespread flooding across southern Ontario resulted in the closing of several roads,april,widespread,flooding
643,Saint John River basin NB April 20 1950 Heavy rains and spring breakup caused ice jams and consequent flooding of several rivers throughout New Brunswick,april,heavy,rains
644,Winnipeg MB May to June 1950 1 dead 107000 evacuated onethird of the city 5000 buildings damaged A major flood occurred April  June 1950,june,dead,evacuated
645,Nova Scotia August 1950 A hurricanelike storm hit Nova Scotia in August 1950 and caused flooding throughout the province,august,hurricanelike,storm
646,Canoe River BC November 21 1950  A special force troop train westbound and an eastbound train collided head on at Canoe River,november,special,force
647,Bow River BC 1951,,,
648,Sumas and Chilliwack BC February 1951 Floods caused the evacuation of 94 families assume a family of 4,february,floods,caused
649,Coniston ON February 9 1951 9 dead 31 injured a bus collided with a CPR passenger train at the Coniston railway crossing near Sudbury,february,dead,injured
650,Stephenville Crossing Summerside NL December 19 1951  A severe storm hit Stephenville Crossing and Summerside with winds gusting at 180 kmh and flooding the towns The rail bed was washedout and the rail line closed for three days The train station was flooded as were major roads that were covered under 12 m of water A sawmill at Summerside was destroyed 15 telegraph poles were blown down fishermen lost boats and gear and thousands of lobsters washed ashore,december,severe,storm
651,Pictou County NS January 14 1952 19 dead a gas explosion in the MacGregor Mine killed 19 workers who stayed behind to block off the dangerous area,january,dead,gas
652,Eastend SK April 1952 In spring 1952 the Frenchman River flooded the town of Eastend,april,spring,frenchman
653,Lake Superior ON 1953 Freighter sinks in high winds in Lake Superior 17 dead,freighter,sinks,winds
654,Across Canada 1953 481 dead,dead,,
655,Sarnia ON May 21 1953 7 dead 40 injured and 500 left homeless,dead,injured,left
656,Central Alberta July 14 1953 Thousands of birds were crushed by golfball sized hailstones as a hailstorm moved across central Alberta affecting an area of 1800 sq km,july,birds,crushed
657,Toronto ON August 24  September 5 1953,august,september,
658,White Point Beach NS January 30 1954 A tornado producing hail and lightning hit the coast of Nova Scotia near Liverpool,january,tornado,producing
659,Southern Ontario February 1518 1954 Communities on the shores of Lakes Ontario Erie and Huron including Toronto experienced flooding,february,communities,shores
660,Moose Jaw SK April 7 1954 A TransCanada Airlines aircraft collided with an Royal Canadian Air Force trainer,april,transcanada,airlines
661,New Brunswick September 1113 1954 Hurricane Edna caused severe damage and flooding,september,hurricane,edna
662,Manitoba and Saskatchewan 1955 Most damage to rural areas Roads and bridges were washed out or damaged and sowing of fields was inhibited due to water cover,damage,rural,roads
663,Ontario and Quebec JulyAugust 1955 More than 100 forest fires burned longer than four weeks,julyaugust,forest,fires
664,Mount Temple Lake Louise AB July 11 1955 7 skiers killed,temple,july,skiers
665,Nicolet QC November 12 1955 3 dead 2000 evacuated 6 injured,november,dead,evacuated
666,Toronto Ontario October 1415 1954  Hurricane Hazel,october,hurricane,hazel
667,Nova Scotia January 318 1956 A prolonged warm spell from the month of December 1955Feb 1956 caused provincewide flooding from snowmelt and ice jams,january,prolonged,warm
668,Southern Ontario August 3031 1956 Due to flooding several roads were closed and damage occurred along the Thames and Grand Rivers as well in the Toronto area,august,flooding,roads
669,Springhill NS November 1 1956 39 dead 88 survivors a gas explosion blasted Cumberlands 4 colliery the 88 survivors were trapped underground but later rescued,november,dead,survivors
670,Mount Slesse BC December 9 1956 62 people killed when TransCanada Air Lines North Star disappeared outside Vancouver en route to Calgary the plane was discovered on May 13 1957 on Mount Slesse British Columbia,december,people,killed
